Logging output to klines_all_daily.log
[2025-09-07 12:05:57] - Checking dependencies...
[2025-09-07 12:05:57] - All dependencies are satisfied.
[2025-09-07 12:05:57] - Starting to fetch all daily k-lines...
[2025-09-07 12:05:57] - Fetching daily k-line for 1.600221 (klt: 101)...
[2025-09-07 12:06:00] - Received 5982 data points for 1.600221. Storing...
[2025-09-07 12:06:00] - Finished storing daily k-line data for 1.600221.
[2025-09-07 12:06:00] - Fetching daily k-line for 1.601111 (klt: 101)...
[2025-09-07 12:06:02] - Received 4563 data points for 1.601111. Storing...
[2025-09-07 12:06:02] - Finished storing daily k-line data for 1.601111.
[2025-09-07 12:06:02] - Fetching daily k-line for 1.600029 (klt: 101)...
[2025-09-07 12:06:05] - Received 5273 data points for 1.600029. Storing...
[2025-09-07 12:06:06] - Finished storing daily k-line data for 1.600029.
[2025-09-07 12:06:06] - Fetching daily k-line for 1.600515 (klt: 101)...
[2025-09-07 12:06:09] - Received 5095 data points for 1.600515. Storing...
[2025-09-07 12:06:09] - Finished storing daily k-line data for 1.600515.
[2025-09-07 12:06:09] - Fetching daily k-line for 0.000089 (klt: 101)...
[2025-09-07 12:06:12] - Received 6573 data points for 0.000089. Storing...
[2025-09-07 12:06:12] - Finished storing daily k-line data for 0.000089.
[2025-09-07 12:06:12] - Fetching daily k-line for 1.601021 (klt: 101)...
[2025-09-07 12:06:30] - Received 2561 data points for 1.601021. Storing...
[2025-09-07 12:06:30] - Finished storing daily k-line data for 1.601021.
[2025-09-07 12:06:30] - Fetching daily k-line for 1.600897 (klt: 101)...
[2025-09-07 12:06:32] - Received 7054 data points for 1.600897. Storing...
[2025-09-07 12:06:33] - Finished storing daily k-line data for 1.600897.
[2025-09-07 12:06:33] - Fetching daily k-line for 1.900945 (klt: 101)...
[2025-09-07 12:06:35] - Received 6580 data points for 1.900945. Storing...
[2025-09-07 12:06:36] - Finished storing daily k-line data for 1.900945.
[2025-09-07 12:06:36] - Fetching daily k-line for 1.600004 (klt: 101)...
