rank,date,code,name,market,score,pools,signals,data_quality,reason
1,20260701,300607,拓斯达,0,140,zt|qs,limit_up_pool|strong_pool|year_breakout|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, year_breakout, volume_expand, trend_confirmed"
2,20260701,688571,杭华股份,1,140,zt|qs,limit_up_pool|strong_pool|year_breakout|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, year_breakout, volume_expand, trend_confirmed"
3,20260701,002559,亚威股份,0,120,zt|qs,limit_up_pool|strong_pool|year_breakout|trend_confirmed,ok,"limit_up_pool, strong_pool, year_breakout, trend_confirmed"
4,20260701,002458,益生股份,0,115,zt,limit_up_pool|year_breakout|year_downtrend_reversal|volume_expand,ok,"limit_up_pool, year_breakout, year_downtrend_reversal, volume_expand"
5,20260701,001331,胜通能源,0,115,zt|qs,limit_up_pool|strong_pool|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, volume_expand, trend_confirmed"
6,20260701,002167,东方锆业,0,115,zt|qs,limit_up_pool|strong_pool|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, volume_expand, trend_confirmed"
7,20260701,300481,濮阳惠成,0,115,zt|qs,limit_up_pool|strong_pool|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, volume_expand, trend_confirmed"
8,20260701,300518,新迅达,0,115,zt|qs,limit_up_pool|strong_pool|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, volume_expand, trend_confirmed"
9,20260701,300852,四会富仕,0,115,zt|qs,limit_up_pool|strong_pool|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, volume_expand, trend_confirmed"
10,20260701,600179,安通控股,1,115,zt|qs,limit_up_pool|strong_pool|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, volume_expand, trend_confirmed"
11,20260701,600641,先导基电,1,115,zt|qs,limit_up_pool|strong_pool|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, volume_expand, trend_confirmed"
12,20260701,600667,太极实业,1,115,zt|qs,limit_up_pool|strong_pool|volume_expand|trend_confirmed,ok,"limit_up_pool, strong_pool, volume_expand, trend_confirmed"
